unique_match_id,match_date,season_year,tour_type_human,surface,round,tournament,home_id,home_name,away_id,away_name,home_rank,away_rank,winner_code,home_win
65014758_2024_4,2024-11-03 18:20:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),329751,Kung L.,498997,Coleman E.,,,1.0,1
97093266_2024_2,2024-11-03 19:10:00,2024,Wta Tour,Hard,Semi-Finals,Merida WTA,619460,Li A.,824108,Kudermetova P.,,,1.0,1
75947236_2024_4,2024-11-03 19:10:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),673298,Loeb J.,451842,Sebov K.,,,1.0,1
40232516_2024_4,2024-11-03 19:15:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,240894,Alves C.,836015,Zeballos N.,,,1.0,1
17059328_2024_4,2024-11-03 20:10:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,634665,Higuita Barraza M. I.,228495,Okalova M.,,,2.0,0
30395516_2024_4,2024-11-03 20:15:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),880806,Anderson R.,405386,Radwanska U.,,,1.0,1
74597400_2024_4,2024-11-03 20:35:48,2024,Wta Chall,Clay,Final,Santa Cruz Chall. Women,741705,Arango E.,384199,Todoni A. A.,,,2.0,0
48211215_2024_4,2024-11-03 21:40:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),866608,Kawa K.,791769,Osuigwe W.,,,2.0,0
86189650_2024_2,2024-11-04 00:10:00,2024,Wta Tour,Hard,Final,Merida WTA,337480,Sonmez Z.,619460,Li A.,,,1.0,1
49464780_2024_2,2024-11-04 12:45:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),350535,Rybakina E.,809492,Zheng Q.,,,2.0,0
75444038_2024_4,2024-11-04 15:10:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),329751,Kung L.,792466,Kaji H.,,,2.0,0
76121694_2024_4,2024-11-04 15:10:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),123431,Smith A.,175731,Appleton E.,,,2.0,0
70968921_2024_2,2024-11-04 15:35:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),716715,Sabalenka A.,324333,Paolini J.,,,1.0,1
51411717_2024_4,2024-11-04 15:40:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,240894,Alves C.,228495,Okalova M.,,,2.0,0
99085461_2024_4,2024-11-04 15:40:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,749101,Smith T. N.,876717,Kazionova E.,,,1.0,1
98985979_2024_4,2024-11-04 15:40:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,136364,Herrero Linana A.,394647,Monroy Y.,,,1.0,1
68287046_2024_4,2024-11-04 16:25:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),880806,Anderson R.,488683,Frey A.,,,1.0,1
64484190_2024_4,2024-11-04 16:30:00,2024,Wta Chall,Hard,Qualifier,Midland Chall. Women - Qualification (indoor),791769,Osuigwe W.,673298,Loeb J.,,,1.0,1
33716212_2024_4,2024-11-04 17:20:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,543051,Ortenzi J.,328017,Pigossi L.,,,1.0,1
39706412_2024_4,2024-11-04 17:55:00,2024,Wta Chall,Clay,Qualifier,Cali Chall. Women - Qualification,806694,Estable L. J.,815073,Kudashova D.,,,2.0,0
72902253_2024_4,2024-11-04 18:05:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),331161,Davis L.,461549,Charaeva A.,,,1.0,1
93912802_2024_4,2024-11-04 18:20:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),766389,Knutson G.,704367,Mikulskyte J.,,,1.0,1
19556158_2024_4,2024-11-04 19:00:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,235561,Perez Garcia M. P.,735911,Montgomery R.,,,2.0,0
68411475_2024_4,2024-11-04 20:35:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),863771,Glushko L.,663060,Parks A.,,,2.0,0
39583228_2024_4,2024-11-04 20:50:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),688936,Zidansek T.,126579,Tsurenko L.,,,2.0,0
92124886_2024_4,2024-11-04 23:00:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),920327,Teichmann J.,937315,Mandlik E.,,,1.0,1
94591636_2024_2,2024-11-05 12:45:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),814118,Pegula J.,358837,Krejcikova B.,,,2.0,0
98980995_2024_4,2024-11-05 15:05:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,983277,Mediorreal A. V.,815073,Kudashova D.,,,1.0,1
51662988_2024_4,2024-11-05 15:05:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,605419,Wuerth T.,762933,Semenistaja D.,,,2.0,0
58663816_2024_4,2024-11-05 15:10:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,350354,Zavatska K.,416641,Udvardy P.,,,2.0,0
87831255_2024_4,2024-11-05 15:10:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),880806,Anderson R.,675084,Marino R.,,,2.0,0
13584103_2024_4,2024-11-05 15:10:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),175731,Appleton E.,792466,Kaji H.,,,2.0,0
14258840_2024_2,2024-11-05 15:15:00,2024,Wta Tour,Hard,Nan,Finals - Riyadh WTA (indoor),139227,Swiatek I.,296713,Gauff C.,,,2.0,0
62407665_2024_4,2024-11-05 16:40:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,749101,Smith T. N.,745434,Bolsova Zadoinov A.,,,1.0,1
35410429_2024_4,2024-11-05 16:45:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),791769,Osuigwe W.,913730,Maria T.,,,1.0,1
38633679_2024_4,2024-11-05 16:50:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),420409,Stakusic M.,958557,Lepchenko V.,,,2.0,0
44484228_2024_4,2024-11-05 17:30:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,605920,Lizarazo Y.,136364,Herrero Linana A.,,,2.0,0
58935131_2024_4,2024-11-05 17:55:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,885767,Riera J.,275150,Romero Gormaz L.,,,2.0,0
77486463_2024_4,2024-11-05 18:30:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),520895,McNally C.,329751,Kung L.,,,1.0,1
99981311_2024_4,2024-11-05 18:50:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,794930,Jones F.,104163,Bulgaru M.,,,1.0,1
68430567_2024_4,2024-11-05 19:20:00,2024,Wta Chall,Clay,1/16-Finals,Cali Chall. Women,741705,Arango E.,149526,Janicijevic S.,,,1.0,1
72309812_2024_4,2024-11-05 19:45:00,2024,Wta Chall,Hard,1/16-Finals,Midland Chall. Women (indoor),400866,Zhao C.,936231,Chirico L.,,,2.0,0
