unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
25548506_2024_3,977820,947022,,,Hard,2024,2024-08-10 16:30:26,Atp Chall,1,Jacquet K.,Grenier H.
52758314_2024_3,281568,949266,,,Hard,2024,2024-08-10 16:55:00,Atp Chall,1,Albot R.,Gojo B.
82404103_2024_1,601224,876588,43.0,576.0,Hard,2024,2024-08-10 17:10:00,Atp Tour,0,Borges N.,Nishikori K.
58384885_2024_3,130774,594158,,,Hard,2024,2024-08-10 17:40:00,Atp Chall,1,King K.,Blanchet U.
37377783_2024_3,257507,505083,,,Hard,2024,2024-08-10 17:45:00,Atp Chall,1,Nava E.,Schoen P.
25802389_2024_1,945948,338460,10.0,62.0,Hard,2024,2024-08-10 17:50:00,Atp Tour,0,Dimitrov G.,Popyrin A.
50234044_2024_1,225761,556041,1.0,21.0,Hard,2024,2024-08-10 18:05:00,Atp Tour,1,Sinner J.,Tabilo A.
92998508_2024_3,422313,854887,,,Hard,2024,2024-08-10 18:30:00,Atp Chall,1,Diallo G.,Spizzirri E.
96851200_2024_3,119633,155432,,,Hard,2024,2024-08-10 18:40:00,Atp Chall,1,Gigante M.,Zapp L.
81347248_2024_3,313667,392013,206.0,134.0,Hard,2024,2024-08-10 18:55:00,Atp Chall,1,Fearnley J.,Bu Y.
85666456_2024_3,429614,125833,,,Hard,2024,2024-08-10 19:20:00,Atp Chall,1,Schoolkate T.,Kypson P.
72799085_2024_3,898178,591935,,,Hard,2024,2024-08-10 19:20:00,Atp Chall,0,Polmans M.,Mochizuki S.
26020964_2024_1,415691,404096,17.0,4.0,Hard,2024,2024-08-10 19:45:00,Atp Tour,0,Rune H.,Zverev A.
64618242_2024_1,529271,261903,,,Hard,2024,2024-08-10 20:00:00,Atp Tour,0,Ruud C.,Korda S.
20290361_2024_3,735755,396168,356.0,260.0,Clay,2024,2024-08-10 20:30:00,Atp Chall,1,Alves M.,Mejia N.
26869026_2024_3,924009,500155,295.0,171.0,Hard,2024,2024-08-10 21:00:16,Atp Chall,0,Basavareddy N.,Wong C.
